,ZHVI,Metro,City,zip,State,zhvi_score
2309,645675.0,Naples-Immokalee-Marco Island,Naples,34109,FL,6
2310,266477.0,Atlanta-Sandy Springs-Roswell,East Point,30344,GA,10
2311,914073.0,Los Angeles-Long Beach-Anaheim,Long Beach,90808,CA,3
2312,431706.0,Grants Pass,Grants Pass,97527,OR,8
2313,363524.0,Daphne-Fairhope-Foley,Fairhope,36532,AL,9
2314,531441.0,Worcester,Shrewsbury,1545,MA,7
2315,210790.0,San Antonio-New Braunfels,San Antonio,78218,TX,10
2316,403706.0,Columbus,Upper Arlington,43221,OH,8
2317,2099782.0,Los Angeles-Long Beach-Anaheim,Santa Monica,90403,CA,1
2318,279908.0,Ocala,Summerfield,34491,FL,10
2319,358952.0,New York-Newark-Jersey City,East Orange,7017,NJ,9
2320,235885.0,Allentown-Bethlehem-Easton,Bethlehem,18018,PA,10
2321,143421.0,Milwaukee-Waukesha-West Allis,Milwaukee,53218,WI,10
2322,358331.0,Charlotte-Concord-Gastonia,Fort Mill,29715,SC,9
2323,757857.0,San Diego-Carlsbad,Oceanside,92058,CA,5
2324,477603.0,Sacramento--Roseville--Arden-Arcade,Sacramento,95833,CA,8
2325,293526.0,Wilmington,Wilmington,28405,NC,10
2326,316351.0,Houston-The Woodlands-Sugar Land,Houston,77054,TX,10
2327,630130.0,Washington-Arlington-Alexandria,Fairfax,22031,VA,6
2328,174319.0,Fayetteville,Hope Mills,28348,NC,10
2329,296608.0,Virginia Beach-Norfolk-Newport News,Chesapeake,23323,VA,10
2330,420765.0,Grants Pass,Grants Pass,97526,OR,8
2331,436451.0,Cheyenne,Cheyenne,82009,WY,8
2332,286347.0,Houston-The Woodlands-Sugar Land,Conroe,77304,TX,10
2333,1153682.0,Denver-Aurora-Lakewood,Denver,80209,CO,1
2334,407115.0,New York-Newark-Jersey City,Wappinger,12590,NY,8
2335,271816.0,Lakeland-Winter Haven,Poinciana,34759,FL,10
2336,189144.0,Vineland-Bridgeton,Bridgeton,8302,NJ,10
2337,703022.0,Los Angeles-Long Beach-Anaheim,Santa Clarita,91387,CA,5
2338,248542.0,Panama City,Panama City,32404,FL,10
2339,269026.0,Fayetteville-Springdale-Rogers,Springdale,72762,AR,10
2340,321507.0,Chicago-Naperville-Elgin,Bartlett,60103,IL,10
2341,237072.0,Greenville-Anderson-Mauldin,Greenville,29605,SC,10
2342,634951.0,Salt Lake City,Salt Lake City,84106,UT,6
2343,158787.0,Scranton--Wilkes-Barre--Hazleton,Kingston,18704,PA,10
2344,73938.0,Detroit-Warren-Dearborn,Detroit,48224,MI,10
2345,1073120.0,Seattle-Tacoma-Bellevue,Seattle,98117,WA,2
2346,649444.0,Boston-Cambridge-Newton,Braintree,2184,MA,6
2347,454849.0,Philadelphia-Camden-Wilmington,Northampton Township,18966,PA,8
2348,491884.0,New York-Newark-Jersey City,New York,10455,NY,8
2349,121519.0,Shreveport-Bossier City,Shreveport,71106,LA,10
2350,139466.0,Evansville,Evansville,47714,IN,10
2351,870481.0,Urban Honolulu,Kapolei,96707,HI,4
2352,455520.0,Boston-Cambridge-Newton,Lowell,1852,MA,8
2353,769906.0,Bozeman,Bozeman,59715,MT,5
2354,380578.0,Indianapolis-Carmel-Anderson,Westfield,46074,IN,9
2355,604104.0,Denver-Aurora-Lakewood,Ken Caryl,80128,CO,6
2356,593651.0,Naples-Immokalee-Marco Island,Naples,34113,FL,7
2357,438862.0,Boston-Cambridge-Newton,Dover,3820,NH,8
2358,173725.0,Utica-Rome,Utica,13501,NY,10
2359,2403177.0,San Jose-Sunnyvale-Santa Clara,San Jose,95129,CA,1
2360,155194.0,Valdosta,Valdosta,31602,GA,10
2361,250794.0,Harrisburg-Carlisle,Lower Allen Township,17011,PA,10
2362,62370.0,Saginaw,Saginaw,48601,MI,10
2363,378996.0,Washington-Arlington-Alexandria,Manassas,20109,VA,9
2364,396385.0,Charlotte-Concord-Gastonia,Fort Mill,29708,SC,9
2365,197978.0,Goldsboro,Goldsboro,27534,NC,10
2366,171075.0,McAllen-Edinburg-Mission,Edinburg,78541,TX,10
2367,168348.0,Toledo,Toledo,43614,OH,10
2368,411924.0,Jacksonville,Saint Augustine,32092,FL,8
2369,209243.0,Kansas City,Leavenworth,66048,KS,10
2370,447566.0,Dallas-Fort Worth-Arlington,Dallas,75220,TX,8
2371,180084.0,Alexandria,Pineville,71360,LA,10
2372,344260.0,Washington-Arlington-Alexandria,Frederick,21703,MD,10
2373,892233.0,New York-Newark-Jersey City,Scarsdale,10583,NY,4
2374,259758.0,Hartford-West Hartford-East Hartford,Vernon Rockville,6066,CT,10
2375,177319.0,Detroit-Warren-Dearborn,Westland,48186,MI,10
2376,520533.0,Washington-Arlington-Alexandria,Centreville,20120,VA,7
2377,1052275.0,Denver-Aurora-Lakewood,Denver,80206,CO,2
2378,736125.0,Portland-Vancouver-Hillsboro,Portland,97214,OR,5
2379,562369.0,Seattle-Tacoma-Bellevue,Kent,98032,WA,7
2380,250093.0,Baton Rouge,Baton Rouge,70817,LA,10
2381,150211.0,Cleveland-Elyria,South Euclid,44121,OH,10
2382,166980.0,Las Cruces,Las Cruces,88001,NM,10
2383,339209.0,Phoenix-Mesa-Scottsdale,Phoenix,85037,AZ,10
2384,287535.0,Green Bay,Green Bay,54311,WI,10
2385,382348.0,Albany,Albany,97322,OR,9
2386,332674.0,Corpus Christi,Corpus Christi,78418,TX,10
2387,391390.0,Chicago-Naperville-Elgin,Glen Ellyn,60137,IL,9
2388,354935.0,Atlanta-Sandy Springs-Roswell,Woodstock,30189,GA,9
2389,778860.0,Seattle-Tacoma-Bellevue,Renton,98059,WA,5
2390,373765.0,Baltimore-Columbia-Towson,Westminster,21157,MD,9
2391,253709.0,York-Hanover,York Township,17402,PA,10
2392,750076.0,San Diego-Carlsbad,San Diego,92102,CA,5
2393,572912.0,Austin-Round Rock,Austin,78729,TX,7
2394,503726.0,Spokane-Spokane Valley,Spokane,99223,WA,7
2395,836785.0,Seattle-Tacoma-Bellevue,Shoreline,98155,WA,4
2396,243151.0,Savannah,Savannah,31406,GA,10
2397,728773.0,Houston-The Woodlands-Sugar Land,Houston,77056,TX,5
2398,392378.0,Dallas-Fort Worth-Arlington,Rockwall,75087,TX,9
2399,552682.0,Provo-Orem,American Fork,84003,UT,7
2400,260967.0,Marquette,Marquette,49855,MI,10
2401,1402733.0,Seattle-Tacoma-Bellevue,Bellevue,98006,WA,1
2402,443169.0,Baltimore-Columbia-Towson,Sykesville,21784,MD,8
2403,226180.0,Staunton-Waynesboro,Waynesboro,22980,VA,10
2404,270096.0,Chicago-Naperville-Elgin,Aurora,60504,IL,10
2405,530729.0,Boston-Cambridge-Newton,Framingham,1702,MA,7
2406,482436.0,Colorado Springs,Colorado Springs,80920,CO,8
2407,165223.0,Springfield,Springfield,45503,OH,10
2408,191552.0,Pittsburgh,Hopewell Township,15001,PA,10
2409,226410.0,Jackson,Brandon,39042,MS,10
2410,424466.0,Modesto,Ceres,95307,CA,8
2411,171963.0,Oshkosh-Neenah,Oshkosh,54901,WI,10
2412,424147.0,Providence-Warwick,Cumberland,2864,RI,8
2413,271919.0,Des Moines-West Des Moines,West Des Moines,50265,IA,10
2414,375224.0,Colorado Springs,Colorado Springs,80916,CO,9
2415,447480.0,Las Vegas-Henderson-Paradise,Las Vegas,89178,NV,8
2416,679599.0,Tucson,Tucson,85718,AZ,6
2417,1098418.0,Los Angeles-Long Beach-Anaheim,Irvine,92612,CA,2
2418,469312.0,Miami-Fort Lauderdale-West Palm Beach,Pompano Beach,33060,FL,8
2419,1516038.0,Boston-Cambridge-Newton,Brookline,2446,MA,1
2420,356218.0,Fresno,Clovis,93612,CA,9
2421,236327.0,Charlotte-Concord-Gastonia,Statesville,28677,NC,10
2422,414783.0,Eugene,Springfield,97478,OR,8
2423,351308.0,Anchorage,Anchorage,99507,AK,9
2424,306024.0,Houston-The Woodlands-Sugar Land,Houston,77092,TX,10
2425,163986.0,Pittsburgh,Uniontown,15401,PA,10
2426,258550.0,Lincoln,Lincoln,68521,NE,10
2427,279336.0,Pensacola-Ferry Pass-Brent,Pensacola,32503,FL,10
2428,266105.0,Dover,Dover,19904,DE,10
2429,647104.0,New York-Newark-Jersey City,New York,10301,NY,6
2430,576124.0,Phoenix-Mesa-Scottsdale,Scottsdale,85257,AZ,7
2431,167715.0,Searcy,Searcy,72143,AR,10
2432,505198.0,Missoula,Missoula,59801,MT,7
2433,304972.0,Las Cruces,Las Cruces,88011,NM,10
2434,213093.0,Deltona-Daytona Beach-Ormond Beach,Daytona Beach,32114,FL,10
2435,1212481.0,San Francisco-Oakland-Hayward,San Ramon,94583,CA,1
2436,151304.0,Omaha-Council Bluffs,Council Bluffs,51501,IA,10
2437,375549.0,Tampa-St. Petersburg-Clearwater,Clearwater,33756,FL,9
2438,649284.0,North Port-Sarasota-Bradenton,Venice,34285,FL,6
2439,368833.0,Orlando-Kissimmee-Sanford,Orlando,32812,FL,9
2440,277253.0,Milwaukee-Waukesha-West Allis,Waukesha,53186,WI,10
2441,201453.0,Vineland-Bridgeton,Millville,8332,NJ,10
2442,755301.0,Nashville-Davidson--Murfreesboro--Franklin,Nashville,37203,TN,5
2443,655564.0,Los Angeles-Long Beach-Anaheim,Los Angeles,90744,CA,6
2444,141060.0,El Dorado,El Dorado,71730,AR,10
2445,664639.0,Vallejo-Fairfield,Fairfield,94534,CA,6
2446,363643.0,North Port-Sarasota-Bradenton,Bradenton,34208,FL,9
2447,466947.0,Salt Lake City,West Valley City,84120,UT,8
2448,309361.0,San Antonio-New Braunfels,Cibolo,78108,TX,10
2449,502332.0,Baltimore-Columbia-Towson,Annapolis,21403,MD,7
2450,458834.0,North Port-Sarasota-Bradenton,Sarasota,34243,FL,8
2451,481367.0,New York-Newark-Jersey City,Bridgewater Township,8807,NJ,8
2452,368214.0,Manchester-Nashua,Manchester,3102,NH,9
2453,224851.0,St. Louis,Arnold,63010,MO,10
2454,302482.0,Atlanta-Sandy Springs-Roswell,Stone Mountain,30087,GA,10
2455,2735934.0,New York-Newark-Jersey City,New York,10075,NY,1
2456,418990.0,Raleigh,Holly Springs,27540,NC,8
2457,310570.0,Philadelphia-Camden-Wilmington,Washington Township,8080,NJ,10
2458,576384.0,Jacksonville,Jacksonville Beach,32250,FL,7
2459,230116.0,Harrisburg-Carlisle,Lower Paxton Township,17111,PA,10
2460,591488.0,Denver-Aurora-Lakewood,Lakewood,80226,CO,7
2461,658933.0,New York-Newark-Jersey City,Westbury,11590,NY,6
2462,548363.0,Denver-Aurora-Lakewood,Westminster,80031,CO,7
2463,432010.0,Eugene,Eugene,97404,OR,8
2464,258287.0,Ames,Ames,50010,IA,10
